Project Name,Policy ID,Evaluation
akerl/aws-account,POL99,NONE
jay-jain/aws-terraform,POL38,NONE
LF-Engineering/insights-datasource-shared,POL91,BOTH
LF-Engineering/insights-datasource-shared,POL92,BOTH
LF-Engineering/insights-datasource-shared,POL96,BOTH
LF-Engineering/insights-datasource-shared,POL98,BOTH
LF-Engineering/insights-datasource-shared,POL99,BOTH
addresscloud/terraform-aws-tile-service,POL91,BOTH
addresscloud/terraform-aws-tile-service,POL92,BOTH
addresscloud/terraform-aws-tile-service,POL96,BOTH
addresscloud/terraform-aws-tile-service,POL98,BOTH
addresscloud/terraform-aws-tile-service,POL99,BOTH
sighupio/fury-eks-installer,POL98,NONE
sighupio/fury-eks-installer,POL99,NONE
bootcamp-team2022/angular-frontend,POL34,BOTH
bootcamp-team2022/angular-frontend,POL91,CHECKOV
bootcamp-team2022/angular-frontend,POL92,CHECKOV
bootcamp-team2022/angular-frontend,POL96,CHECKOV
bootcamp-team2022/angular-frontend,POL98,NONE
bootcamp-team2022/angular-frontend,POL99,NONE
kylecrawshaw/kylecrawshaw.com,POL98,NONE
kylecrawshaw/kylecrawshaw.com,POL99,NONE
acidjazz/basal,POL98,NONE
acidjazz/basal,POL99,NONE
tdooner/flynn,POL98,NONE
tdooner/flynn,POL99,NONE
CityOfPhiladelphia/oddt-terraform,POL98,NONE
CityOfPhiladelphia/oddt-terraform,POL99,NONE
QuiNovas/terraform-modules,POL98,NONE
QuiNovas/terraform-modules,POL99,NONE
EricLondon/terraform-ecs-express,POL98,NONE
EricLondon/terraform-ecs-express,POL99,NONE
jSherz/bucket-access-button,POL98,NONE
jSherz/bucket-access-button,POL99,NONE
tablexi/terraform_modules,POL34,NONE
tablexi/terraform_modules,POL38,NONE
tablexi/terraform_modules,POL98,NONE
tablexi/terraform_modules,POL99,NONE
clouduct/terraform-template,POL98,NONE
clouduct/terraform-template,POL99,NONE
ministryofjustice/cloud-platform-concourse,POL98,NONE
ministryofjustice/cloud-platform-concourse,POL99,NONE
HackYourFuture/infrastructure,POL98,NONE
HackYourFuture/infrastructure,POL99,NONE
youngfeldt/terraform-aws-backend-s3,POL98,NONE
youngfeldt/terraform-aws-backend-s3,POL99,NONE
1ultimat3/fuzzied,POL98,NONE
1ultimat3/fuzzied,POL99,NONE
mrled/psyops,POL98,NONE
mrled/psyops,POL99,NONE
mongulu-cm/mtchoun-mouh,POL98,NONE
mongulu-cm/mtchoun-mouh,POL99,NONE
globaldatanet/hugs,POL98,NONE
globaldatanet/hugs,POL99,NONE
aws-samples/aws-mlops-pipelines-terraform,POL98,NONE
aws-samples/aws-mlops-pipelines-terraform,POL99,NONE
sachajw/course-material,POL98,NONE
sachajw/course-material,POL99,NONE
AgnostiqHQ/covalent-kubernetes-plugin,POL38,NONE
AgnostiqHQ/covalent-kubernetes-plugin,POL98,NONE
AgnostiqHQ/covalent-kubernetes-plugin,POL99,NONE
cds-snc/share-files-securely,POL34,BOTH
nobl9/build-on-aws-o11y-demo,POL98,NONE
nobl9/build-on-aws-o11y-demo,POL99,NONE
paulmarsicloud/terraform-aws-openvpn-ephemeral,POL98,NONE
paulmarsicloud/terraform-aws-openvpn-ephemeral,POL99,NONE
QuiNovas/terraform-aws-cloudtrail,POL91,BOTH
QuiNovas/terraform-aws-cloudtrail,POL92,BOTH
QuiNovas/terraform-aws-cloudtrail,POL96,BOTH
QuiNovas/terraform-aws-cloudtrail,POL98,BOTH
QuiNovas/terraform-aws-cloudtrail,POL99,BOTH
aws-samples/aws-trusted-advisor-glue-aggregator-terraform,POL91,BOTH
aws-samples/aws-trusted-advisor-glue-aggregator-terraform,POL92,BOTH
aws-samples/aws-trusted-advisor-glue-aggregator-terraform,POL96,BOTH
aws-samples/aws-trusted-advisor-glue-aggregator-terraform,POL98,BOTH
aws-samples/aws-trusted-advisor-glue-aggregator-terraform,POL99,BOTH
dwp/aws-analytical-env,POL91,BOTH
dwp/aws-analytical-env,POL92,BOTH
dwp/aws-analytical-env,POL96,BOTH
dwp/aws-analytical-env,POL98,BOTH
dwp/aws-analytical-env,POL99,BOTH
eliasbrange/aws-github-actions-oidc,POL98,NONE
eliasbrange/aws-github-actions-oidc,POL99,NONE
pinxiong/infrastructure,POL91,BOTH
pinxiong/infrastructure,POL92,BOTH
pinxiong/infrastructure,POL96,BOTH
finboxio/rancher-aws,POL98,NONE
finboxio/rancher-aws,POL99,NONE
eana/bitwarden-tf-aws,POL91,BOTH
eana/bitwarden-tf-aws,POL92,BOTH
eana/bitwarden-tf-aws,POL96,BOTH
eana/bitwarden-tf-aws,POL98,BOTH
eana/bitwarden-tf-aws,POL99,BOTH
MrrRaph/wavegame-terraform,POL34,BOTH
MrrRaph/wavegame-terraform,POL98,NONE
MrrRaph/wavegame-terraform,POL99,NONE
Rondineli/mutirao_devops_cloudfront_demo,POL98,NONE
Rondineli/mutirao_devops_cloudfront_demo,POL99,NONE
diavbolo/realtime-costs,POL34,NONE
batestin1/Amazon-EMR,POL98,NONE
batestin1/Amazon-EMR,POL99,NONE
wei-zhong90/deltalake-aws-poc-demo,POL98,NONE
wei-zhong90/deltalake-aws-poc-demo,POL99,NONE
