Repository Full Name,Repository Description,Star Count,Fork Count,Repository Licence,Main Language,Language Repartition
dfds/infrastructure-modules,Terraform modules for infrastructure,21,14,MIT License,HCL,"{'HCL': 94.1, 'Go': 3.21, 'Shell': 2.19, 'PowerShell': 0.45, 'Makefile': 0.04}"
RICHNVRDIE/new-repo,,0,0,NO LICENSE,HCL,"{'HCL': 63.2, 'Java': 36.8}"
hmcts/pip-data-management,Data Management Microservice for Publishing and Information Project,2,1,MIT License,Java,"{'Java': 98.16, 'HCL': 1.03, 'Shell': 0.42, 'Groovy': 0.37, 'Dockerfile': 0.02}"
jakewalsh90/Terraform-Azure,"Contains Terraform code for Azure deployment - snippets, useful bits, samples, labs and more. All deployable in small instances with ready to go code. Includes GitHub Actions for deployment!",56,93,The Unlicense,HCL,"{'HCL': 93.34, 'PowerShell': 6.43, 'Shell': 0.23}"
chrburmeister/terraform-dynamic,Example code for Terraform dynamic-block statement,0,0,MIT License,HCL,{'HCL': 100.0}
novakgz/atividade01,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
HarishRajTechStack/rsa-test-iac,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
MohamedHosny101/demo-nov,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
husseinahmed-dev/LS-Lab2,Infrastructure-as-Code with Ansible and Terraform,1,0,MIT License,C#,"{'C#': 69.6, 'HTML': 20.73, 'HCL': 4.7, 'Dockerfile': 3.2, 'CSS': 1.16, 'Shell': 0.51, 'JavaScript': 0.1}"
PerninManon/TerraformWorkshops,,0,2,NO LICENSE,HCL,{'HCL': 100.0}
mattdonnelly10/mattsiac,My IAC,0,0,NO LICENSE,HCL,"{'HCL': 65.33, 'PowerShell': 34.67}"
anoopraj467/Capston-Infra,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
PrajawalSharma/aks_acr,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
hashicorp/terraform-azurerm-terraform-enterprise,A Terraform module for deploying Terraform Enterprise on Azure.,54,56,Mozilla Public License 2.0,HCL,"{'HCL': 90.2, 'Shell': 9.8}"
O2-Bionics/O2NextGen,Cross-platform .NET microservices and container based application that runs on Linux Windows and macOS. ,0,0,MIT License,CSS,"{'CSS': 79.89, 'C#': 12.91, 'HCL': 1.78, 'HTML': 1.61, 'JavaScript': 1.58, 'Shell': 0.86, 'Smarty': 0.77, 'Dockerfile': 0.33, 'TypeScript': 0.1, 'Mustache': 0.08, 'PowerShell': 0.04, 'TSQL': 0.03, 'SCSS': 0.03}"
KateCourt/strapi-oracle-test,,0,0,NO LICENSE,HCL,"{'HCL': 50.9, 'JavaScript': 26.98, 'Shell': 14.32, 'Dockerfile': 7.8}"
